Transcript_ID	Transcript_ID	Gene_ID	Description	IO_Read_Count	IX_Read_Count	NO_Read_Count	NX_Read_Count	IO_FPKM	IX_FPKM	NO_FPKM	NX_FPKM
Os05g0100700	Os05t0100700-01,Os05t0100700-02	.	.	0	45	9	63	0.0	13.924036	3.962212	7.330732
Os12g0100700	Os12t0100700-00	.	.	0	4	0	2	0.0	1.118496	0.0	0.2367
Os01g0100700	Os01t0100700-01	.	.	62	70	46	173	71.065201	34.646748	41.139763	36.455238
Os10g0100700	Os10t0100700-01	.	.	32	137	16	73	29.254484	54.008095	11.426153	12.204631
Os05g0100750	Os05t0100750-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os09g0100750	Os09t0100750-01	.	.	0	0	0	6	0.0	0.0	0.0	3.195216
Os08g0100800	Os08t0100800-01	.	.	8	22	9	11	5.612524	6.5282	4.475327	1.434161
Os01g0100800	Os01t0100800-01	.	.	0	43	4	67	0.0	12.567768	1.958184	8.384101
Os02g0100800	Os02t0100800-01	.	.	13	6	2	30	18.834473	4.051621	2.459726	8.348251
Os03g0100800	Os03t0100800-01	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os11g0100800	Os11t0100800-01	.	.	0	0	0	2	0.0	0.0	0.0	0.2367
Os09g0100800	Os09t0100800-01	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os07g0100800	Os07t0100800-01	.	.	8	10	0	9	5.259436	2.844464	0.0	0.995053
Os05g0100800	Os05t0100800-01	.	.	32	55	56	152	43.212818	32.650375	60.915031	38.552124
Os03g0100850	Os03t0100850-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os03g0100900	Os03t0100900-01,Os03t0100900-02	.	.	32	63	14	89	23.971088	22.534013	9.226363	13.515592
Os07g0100900	Os07t0100900-01	.	.	3	2	2	5	2.199101	0.356325	1.21707	0.568009
Os05g0100900	Os05t0100900-01	.	.	26	108	8	112	10.005105	18.140093	2.141644	7.951911
Os10g0100900	Os10t0100900-01	.	.	0	14	0	16	0.0	2.3898	0.0	1.112937
Os01g0100900	Os01t0100900-01	.	.	114	213	128	530	63.568024	51.533104	55.909431	54.175011
Os10g0101000	Os10t0101000-01	.	.	70	110	47	164	25.995632	17.701323	13.648125	11.092557
Os08g0101000	Os08t0101000-01	.	.	18	56	45	97	10.498938	14.870167	21.450035	10.822565
Os07g0101000	Os07t0101000-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os06g0101000	Os06t0101000-01	.	.	4	162	67	376	1.098355	19.282429	14.474749	18.938211
