geneID	rice_mock.rep1_count	rice_mock.rep2_count	rice_RSV.rep1_count	rice_RSV.rep2_count	rice_mock.rep1_cpm	rice_mock.rep2_cpm	rice_RSV.rep1_cpm	rice_RSV.rep2_cpm	LogFC	LogCPM	Pvalue	FDR		
LOC_Os02g57120	926	870	188	222	35.460428	32.68611077	7.128739152	8.608166498	-2.091001183	4.386586993	2.52E-12	1.14E-09		
LOC_Os07g05940	16	29	192	830	0.612707179	1.089537026	7.280414453	32.18368555	4.561418561	3.387217837	2.96E-12	1.31E-09		
LOC_Os07g29960	78	115	1052	424	2.986947499	4.32057786	39.89060419	16.4408225	2.964152662	3.998475928	4.32E-12	1.88E-09		
LOC_Os02g20560	172	128	14	13	6.586602177	4.80899101	0.530863554	0.504081822	-3.428875171	1.662942169	4.66E-12	1.98E-09		
LOC_Os01g03370	1	0	46	43	0.038294199	0	1.744265963	1.667347565	6.190524478	-0.091854428	5.00E-12	2.08E-09		
LOC_Os11g29720	532	459	1655	2082	20.37251371	17.2447412	62.75565583	80.73064256	1.954113621	5.508037686	1.09E-11	4.46E-09		
LOC_Os12g09300	1501	857	150	243	57.47959226	32.19769762	5.687823791	9.422452518	-2.547870234	4.709273537	1.91E-11	7.67E-09		
LOC_Os02g48690	127	223	919	689	4.863363235	8.378164025	34.84740043	26.71633656	2.240732397	4.232395984	3.23E-11	1.27E-08		
LOC_Os10g37660	63	85	326	588	2.412534518	3.193470592	12.36153704	22.80000856	2.675074086	3.366987851	3.79E-11	1.43E-08		
LOC_Os10g42130	85	146	1278	483	3.25500689	5.485255371	48.4602587	18.72857846	2.961198852	4.251678971	3.79E-11	1.43E-08		
LOC_Os01g64470	262	305	936	1224	10.03308006	11.45892389	35.49202046	47.46124231	1.973515282	4.71530631	4.60E-11	1.71E-08		
LOC_Os08g36340	15	21	166	135	0.574412981	0.788975088	6.294524996	5.234695843	3.093275507	1.72413436	5.18E-11	1.89E-08		
