TF.Gene.id	Target.gene.id
LOC_Os01g69980	LOC_Os04g58340
LOC_Os01g69980	LOC_Os05g50220
LOC_Os01g69980	LOC_Os02g57290
LOC_Os01g69980	LOC_Os11g36440
LOC_Os01g69980	LOC_Os11g26150
LOC_Os01g69980	LOC_Os03g63554
LOC_Os01g69980	LOC_Os08g44290
LOC_Os01g69980	LOC_Os01g72380
LOC_Os01g69980	LOC_Os03g59080
LOC_Os01g69980	LOC_Os08g01620
LOC_Os01g69980	LOC_Os05g35420
LOC_Os01g69980	LOC_Os01g07270
LOC_Os01g69980	LOC_Os05g43300
LOC_Os01g69980	LOC_Os02g03330
LOC_Os01g69980	LOC_Os12g32580
LOC_Os01g69980	LOC_Os02g02900
LOC_Os01g69980	LOC_Os01g48380
LOC_Os01g69980	LOC_Os01g43150
LOC_Os01g69980	LOC_Os11g24050
LOC_Os01g69980	LOC_Os05g44020
LOC_Os01g69980	LOC_Os05g35540
LOC_Os01g69980	LOC_Os04g24160
LOC_Os01g69980	LOC_Os01g72910
LOC_Os01g69980	LOC_Os04g41920
LOC_Os01g69980	LOC_Os04g38914
LOC_Os01g69980	LOC_Os03g12810
LOC_Os01g69980	LOC_Os10g36860
LOC_Os01g69980	LOC_Os09g38600
LOC_Os01g69980	LOC_Os01g18280
LOC_Os01g69980	LOC_Os05g39680
LOC_Os01g69980	LOC_Os02g52620
LOC_Os01g69980	LOC_Os12g38250
LOC_Os01g69980	LOC_Os05g34050
LOC_Os01g69980	LOC_Os06g45770
LOC_Os01g69980	LOC_Os04g48250
LOC_Os01g69980	LOC_Os01g32350
LOC_Os01g69980	LOC_Os06g02500
LOC_Os01g69980	LOC_Os04g19684
LOC_Os01g69980	LOC_Os03g08630
LOC_Os01g69980	LOC_Os05g49220
LOC_Os01g69980	LOC_Os03g04260
LOC_Os01g69980	LOC_Os05g42120
LOC_Os01g69980	LOC_Os03g07980
LOC_Os01g69980	LOC_Os05g34470
LOC_Os01g69980	LOC_Os07g49080
LOC_Os01g69980	LOC_Os05g32200
LOC_Os01g69980	LOC_Os11g05556
LOC_Os01g69980	LOC_Os09g19850
LOC_Os01g69980	LOC_Os04g44340
LOC_Os01g69980	LOC_Os02g35590
LOC_Os01g69980	LOC_Os02g48800
LOC_Os01g69980	LOC_Os04g44300
LOC_Os01g69980	LOC_Os05g38180
LOC_Os01g69980	LOC_Os03g15930
LOC_Os01g69980	LOC_Os01g01302
LOC_Os01g69980	LOC_Os02g01930
LOC_Os01g69980	LOC_Os04g52520
LOC_Os01g69980	LOC_Os07g38030
LOC_Os01g69980	LOC_Os09g12540
LOC_Os01g69980	LOC_Os06g12140
LOC_Os01g69980	LOC_Os03g60639
LOC_Os01g69980	LOC_Os10g38780
LOC_Os01g69980	LOC_Os12g10730
LOC_Os01g69980	LOC_Os01g69060
LOC_Os01g69980	LOC_Os06g12129
LOC_Os01g69980	LOC_Os01g71700
LOC_Os01g69980	LOC_Os11g06760
LOC_Os01g69980	LOC_Os10g31050
LOC_Os01g69980	LOC_Os12g07020
LOC_Os01g69980	LOC_Os03g63700
LOC_Os01g69980	LOC_Os01g11946
LOC_Os01g69980	LOC_Os11g43600
LOC_Os01g69980	LOC_Os07g06990
LOC_Os01g69980	LOC_Os11g02660
LOC_Os01g69980	LOC_Os10g02070
LOC_Os01g69980	LOC_Os02g05500
LOC_Os01g70110	LOC_Os02g38260
LOC_Os01g70110	LOC_Os01g12381
LOC_Os01g70110	LOC_Os12g13910
LOC_Os01g70110	LOC_Os03g58750
LOC_Os01g70110	LOC_Os09g31454
LOC_Os01g70110	LOC_Os02g05330
LOC_Os01g70110	LOC_Os05g27110
LOC_Os01g70110	LOC_Os08g38220
LOC_Os01g70110	LOC_Os04g31340
LOC_Os01g70110	LOC_Os04g50970
LOC_Os01g70110	LOC_Os09g30300
LOC_Os01g70110	LOC_Os10g32680
LOC_Os01g70110	LOC_Os06g04020
LOC_Os01g70110	LOC_Os05g44310
LOC_Os01g70110	LOC_Os10g33720
LOC_Os01g70110	LOC_Os02g11720
LOC_Os01g70110	LOC_Os04g01960
LOC_Os01g70110	LOC_Os05g50600
LOC_Os01g70230	LOC_Os06g23775
LOC_Os01g70230	LOC_Os01g11970
LOC_Os01g70230	LOC_Os09g31454
LOC_Os01g70230	LOC_Os05g09430
LOC_Os01g70230	LOC_Os04g35070
LOC_Os01g70230	LOC_Os03g60840
LOC_Os01g70310	LOC_Os08g38980
LOC_Os01g70310	LOC_Os03g61930
LOC_Os01g70310	LOC_Os07g07470
LOC_Os01g70310	LOC_Os03g03820
LOC_Os01g70310	LOC_Os07g47510
LOC_Os01g70310	LOC_Os02g26470
LOC_Os01g70310	LOC_Os03g17230
LOC_Os01g70310	LOC_Os09g24670
LOC_Os01g70310	LOC_Os01g39280
LOC_Os01g70310	LOC_Os06g20200
LOC_Os01g70310	LOC_Os10g35140
LOC_Os01g70310	LOC_Os03g18454
LOC_Os01g70310	LOC_Os02g54910
LOC_Os01g70310	LOC_Os03g57854
LOC_Os01g71790	LOC_Os02g52190
